cover_page,product_name,size,offer_price,original_price,img_link,broad_cat,sub_cat1,sub_cat2
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Dates Kimia,1 Pack,₹189.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/81/73/1_1-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Dates Premium,1 Pack,₹344.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/61/73/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Pomegranate Economy,500 g,₹89.50,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/08/04/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Coconut Husk Large,1 Pc,₹25.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/82/53/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Papaya Round,2 kg,₹58.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/15/04/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Papaya Raw,1 kg,₹35.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/34/04/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Tamarind Sweet Imported,1 Pack,₹119.00,₹142.00,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/09/93/1_1-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Guava White Indian,500 g,₹22.50,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/95/73/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Avocado Indian,1 Pc,₹89.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/68/93/1-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Dragon Fruit White Flesh,1 Pc,₹99.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/88/93/1_1-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Pineapple,1 Pc,₹49.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/79/164/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Mud Apple,500 g,₹34.50,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/81/14/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Blueberry,1 Pack,₹349.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/09/43/1-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251,Custard Apple,500 g,₹44.50,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/36/53/1_1-wide_zoom.jpg,Fruits & Vegetables,Fruits,Other Fruits
https://shop.bigbazaar.com/catalog/category/Apples-1245,Apple Shimla,6 pcs,₹109.00,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/43/507/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Apples
https://shop.bigbazaar.com/catalog/category/Apples-1245,Apple Washington,500 g,₹129.50,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/34/43/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Apples
https://shop.bigbazaar.com/catalog/category/Apples-1245,Apple Royal Gala,500 g,₹109.50,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/25/43/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Apples
https://shop.bigbazaar.com/catalog/category/Apples-1245,Apple Granny Smith,500 g,₹119.50,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/03/43/1_1-wide_zoom.jpg,Fruits & Vegetables,Fruits,Apples
https://shop.bigbazaar.com/catalog/category/Mangoes-1250,Mango Raw,500 g,₹64.50,,https://cflare.shop.bigbazaar.com/cdn-cgi/image/width=450/media/product/43/83/7-wide_zoom.jpg,Fruits & Vegetables,Fruits,Mangoes
